ID,Label,Tweet
371,1,"My MacBook keeps overheating, not what I expected."
372,1,Frustrated with the lack of ports on my MacBook.
373,1,"Switching to MacBook has been a great experience, so user-friendly."
374,0,The touch bar on the MacBook Pro is a game changer.
375,1,The new MacBook Pro is incredibly fast and efficient!
376,1,The new MacBook Pro is incredibly fast and efficient!
377,1,Apple's customer service for my MacBook issue was unsatisfactory.
378,0,Wish the MacBook was more affordable.
379,1,Wish the MacBook was more affordable.
380,0,Wish the MacBook was more affordable.
381,1,The new MacBook Pro is incredibly fast and efficient!
382,1,Battery life on the latest MacBook is a bad.
383,1,Frustrated with the lack of ports on my MacBook.
384,0,The touch bar on the MacBook Pro is a game changer.
385,1,Wish the MacBook was more affordable.
386,0,"Switching to MacBook has been a great experience, so user-friendly."
387,0,Apple's customer service for my MacBook issue was unsatisfactory.
388,0,"My MacBook keeps overheating, not what I expected."
389,0,"Switching to MacBook has been a great experience, so user-friendly."
390,1,"MacBook's build quality is unmatched, feels premium."
391,0,"MacBook's build quality is unmatched, feels premium."
392,0,Battery life on the latest MacBook is a bad.
393,0,Battery life on the latest MacBook is a bad.
394,1,"MacBook's build quality is unmatched, feels premium."
395,0,The touch bar on the MacBook Pro is a game changer.
396,1,"Switching to MacBook has been a great experience, so user-friendly."
397,0,Battery life on the latest MacBook is a bad.
398,1,Frustrated with the lack of ports on my MacBook.
399,0,Wish the MacBook was more affordable.
400,0,"MacBook's build quality is unmatched, feels premium."
401,0,The touch bar on the MacBook Pro is a game changer.
402,1,Battery life on the latest MacBook is a bad.
403,1,Battery life on the latest MacBook is a bad.
404,0,The new MacBook Pro is incredibly fast and efficient!
405,0,"My MacBook keeps overheating, not what I expected."
406,0,"Switching to MacBook has been a great experience, so user-friendly."
407,1,"MacBook's retina display is stunning, great for design work."
408,1,The touch bar on the MacBook Pro is a game changer.
409,1,Battery life on the latest MacBook is a bad.
410,1,Battery life on the latest MacBook is a bad.
411,0,Wish the MacBook was more affordable.
412,1,"Switching to MacBook has been a great experience, so user-friendly."
413,1,The new MacBook Pro is incredibly fast and efficient!
414,1,"My MacBook keeps overheating, not what I expected."
415,1,The new MacBook Pro is incredibly fast and efficient!
416,1,The touch bar on the MacBook Pro is a game changer.
417,1,Frustrated with the lack of ports on my MacBook.
418,0,Frustrated with the lack of ports on my MacBook.
419,0,Frustrated with the lack of ports on my MacBook.
420,0,"MacBook's build quality is unmatched, feels premium."
421,0,"MacBook's build quality is unmatched, feels premium."
422,0,"MacBook's build quality is unmatched, feels premium."
423,1,The new MacBook Pro is incredibly fast and efficient!
424,1,"My MacBook keeps overheating, not what I expected."
425,0,"Switching to MacBook has been a great experience, so user-friendly."
426,0,Battery life on the latest MacBook is a bad.
427,0,Wish the MacBook was more affordable.
428,0,"MacBook's retina display is stunning, great for design work."
429,0,"Switching to MacBook has been a great experience, so user-friendly."
430,0,"Switching to MacBook has been a great experience, so user-friendly."
431,0,Frustrated with the lack of ports on my MacBook.
432,0,"Switching to MacBook has been a great experience, so user-friendly."
433,1,Battery life on the latest MacBook is a bad.
434,1,The touch bar on the MacBook Pro is a game changer.
435,0,The new MacBook Pro is incredibly fast and efficient!
436,0,"Switching to MacBook has been a great experience, so user-friendly."
437,1,Wish the MacBook was more affordable.
438,0,The new MacBook Pro is incredibly fast and efficient!
439,1,"MacBook's retina display is stunning, great for design work."
440,0,"MacBook's retina display is stunning, great for design work."
441,0,Wish the MacBook was more affordable.
442,1,Apple's customer service for my MacBook issue was unsatisfactory.
443,0,"MacBook's retina display is stunning, great for design work."
444,0,"My MacBook keeps overheating, not what I expected."
445,0,"My MacBook keeps overheating, not what I expected."
446,1,Frustrated with the lack of ports on my MacBook.
447,0,The new MacBook Pro is incredibly fast and efficient!
448,1,The new MacBook Pro is incredibly fast and efficient!
449,0,Battery life on the latest MacBook is a bad.
450,0,"Switching to MacBook has been a great experience, so user-friendly."
451,0,The touch bar on the MacBook Pro is a game changer.
452,0,"My MacBook keeps overheating, not what I expected."
453,0,"MacBook's retina display is stunning, great for design work."
454,0,"My MacBook keeps overheating, not what I expected."
455,1,"Switching to MacBook has been a great experience, so user-friendly."
456,0,The new MacBook Pro is incredibly fast and efficient!
457,1,The new MacBook Pro is incredibly fast and efficient!
458,1,The new MacBook Pro is incredibly fast and efficient!
459,0,The touch bar on the MacBook Pro is a game changer.
460,0,Battery life on the latest MacBook is a bad.
461,0,"My MacBook keeps overheating, not what I expected."
462,0,"My MacBook keeps overheating, not what I expected."
463,1,Apple's customer service for my MacBook issue was unsatisfactory.
464,0,Battery life on the latest MacBook is a bad.
465,1,Battery life on the latest MacBook is a bad.
466,1,"MacBook's retina display is stunning, great for design work."
467,1,Wish the MacBook was more affordable.
468,1,The touch bar on the MacBook Pro is a game changer.
469,0,Wish the MacBook was more affordable.
470,1,"My MacBook keeps overheating, not what I expected."
471,1,"Switching to MacBook has been a great experience, so user-friendly."
472,1,"MacBook's retina display is stunning, great for design work."
473,0,Apple's customer service for my MacBook issue was unsatisfactory.
474,1,The touch bar on the MacBook Pro is a game changer.
475,0,"Switching to MacBook has been a great experience, so user-friendly."
476,0,Frustrated with the lack of ports on my MacBook.
477,1,The new MacBook Pro is incredibly fast and efficient!
478,0,"MacBook's retina display is stunning, great for design work."
479,0,Battery life on the latest MacBook is a bad.
480,1,Apple's customer service for my MacBook issue was unsatisfactory.
481,0,Apple's customer service for my MacBook issue was unsatisfactory.
482,0,"MacBook's retina display is stunning, great for design work."
483,0,Frustrated with the lack of ports on my MacBook.
484,1,"MacBook's build quality is unmatched, feels premium."
485,0,"MacBook's build quality is unmatched, feels premium."
486,0,The touch bar on the MacBook Pro is a game changer.
487,1,Apple's customer service for my MacBook issue was unsatisfactory.
488,0,"My MacBook keeps overheating, not what I expected."
489,0,The new MacBook Pro is incredibly fast and efficient!
490,1,Frustrated with the lack of ports on my MacBook.
491,0,"MacBook's retina display is stunning, great for design work."
492,1,The touch bar on the MacBook Pro is a game changer.
493,0,Frustrated with the lack of ports on my MacBook.
494,1,Battery life on the latest MacBook is a bad.
495,0,Frustrated with the lack of ports on my MacBook.
496,0,"My MacBook keeps overheating, not what I expected."
497,1,Wish the MacBook was more affordable.
498,0,The touch bar on the MacBook Pro is a game changer.
499,0,Frustrated with the lack of ports on my MacBook.
500,1,Apple's customer service for my MacBook issue was unsatisfactory.
501,0,The touch bar on the MacBook Pro is a game changer.
502,0,Frustrated with the lack of ports on my MacBook.
503,0,Apple's customer service for my MacBook issue was unsatisfactory.
504,0,Apple's customer service for my MacBook issue was unsatisfactory.
505,1,Wish the MacBook was more affordable.
506,1,Battery life on the latest MacBook is a bad.
507,0,Wish the MacBook was more affordable.
508,0,"MacBook's retina display is stunning, great for design work."
509,0,Battery life on the latest MacBook is a bad.
510,0,Wish the MacBook was more affordable.
511,0,"MacBook's build quality is unmatched, feels premium."
512,0,"MacBook's build quality is unmatched, feels premium."
513,1,Apple's customer service for my MacBook issue was unsatisfactory.
514,0,"MacBook's retina display is stunning, great for design work."
515,0,Frustrated with the lack of ports on my MacBook.
516,1,"Switching to MacBook has been a great experience, so user-friendly."
517,1,Frustrated with the lack of ports on my MacBook.
518,0,Battery life on the latest MacBook is a bad.
519,0,Apple's customer service for my MacBook issue was unsatisfactory.
520,0,Frustrated with the lack of ports on my MacBook.
521,0,Frustrated with the lack of ports on my MacBook.
522,1,The new MacBook Pro is incredibly fast and efficient!
523,1,The new MacBook Pro is incredibly fast and efficient!
524,0,The new MacBook Pro is incredibly fast and efficient!
525,1,Apple's customer service for my MacBook issue was unsatisfactory.
526,0,The touch bar on the MacBook Pro is a game changer.
527,0,"Switching to MacBook has been a great experience, so user-friendly."
528,1,The new MacBook Pro is incredibly fast and efficient!
529,1,Wish the MacBook was more affordable.
530,1,"My MacBook keeps overheating, not what I expected."
531,0,"Switching to MacBook has been a great experience, so user-friendly."
532,0,Battery life on the latest MacBook is a bad.
533,1,Wish the MacBook was more affordable.
534,1,Wish the MacBook was more affordable.
535,1,"MacBook's retina display is stunning, great for design work."
536,0,The touch bar on the MacBook Pro is a game changer.
537,0,"MacBook's retina display is stunning, great for design work."
538,1,The new MacBook Pro is incredibly fast and efficient!
539,1,Wish the MacBook was more affordable.
540,1,"My MacBook keeps overheating, not what I expected."
541,1,Apple's customer service for my MacBook issue was unsatisfactory.
542,0,"MacBook's build quality is unmatched, feels premium."
543,1,Frustrated with the lack of ports on my MacBook.
544,1,"MacBook's retina display is stunning, great for design work."
545,0,The new MacBook Pro is incredibly fast and efficient!
546,1,Apple's customer service for my MacBook issue was unsatisfactory.
547,1,The new MacBook Pro is incredibly fast and efficient!
548,0,Battery life on the latest MacBook is a bad.
549,1,"MacBook's retina display is stunning, great for design work."
550,0,"MacBook's build quality is unmatched, feels premium."
551,1,Wish the MacBook was more affordable.
552,0,"My MacBook keeps overheating, not what I expected."
553,0,"MacBook's build quality is unmatched, feels premium."
554,1,Frustrated with the lack of ports on my MacBook.
555,1,"MacBook's build quality is unmatched, feels premium."
556,0,"MacBook's retina display is stunning, great for design work."
557,0,The new MacBook Pro is incredibly fast and efficient!
558,1,Apple's customer service for my MacBook issue was unsatisfactory.
559,0,"Switching to MacBook has been a great experience, so user-friendly."
560,1,"My MacBook keeps overheating, not what I expected."
561,0,Wish the MacBook was more affordable.
562,1,The touch bar on the MacBook Pro is a game changer.
563,0,Frustrated with the lack of ports on my MacBook.
564,1,The touch bar on the MacBook Pro is a game changer.
565,1,Apple's customer service for my MacBook issue was unsatisfactory.
566,0,The new MacBook Pro is incredibly fast and efficient!
567,1,"Switching to MacBook has been a great experience, so user-friendly."
